# Gamma at 1
# M  at 87
# K  at 137
# Gamma at 237
56	2.495888E+02	5.438091E+02	7.903786E+02	9.836048E+02	1.466352E+03	1.571046E+03
57	2.580529E+02	5.491450E+02	7.857785E+02	9.980115E+02	1.463911E+03	1.566635E+03
58	2.665888E+02	5.542954E+02	7.810537E+02	1.012263E+03	1.461532E+03	1.562065E+03
59	2.751897E+02	5.592606E+02	7.762047E+02	1.026371E+03	1.459217E+03	1.557309E+03
60	2.838481E+02	5.640414E+02	7.712325E+02	1.040341E+03	1.456968E+03	1.552359E+03
61	2.925559E+02	5.686382E+02	7.661388E+02	1.054167E+03	1.454787E+03	1.547227E+03
62	3.013041E+02	5.730518E+02	7.609263E+02	1.067832E+03	1.452676E+03	1.541940E+03
63	3.100834E+02	5.772829E+02	7.555981E+02	1.081323E+03	1.450635E+03	1.536519E+03
64	3.188840E+02	5.813322E+02	7.501581E+02	1.094637E+03	1.448667E+03	1.530967E+03
65	3.276953E+02	5.852007E+02	7.446109E+02	1.107783E+03	1.446772E+03	1.525266E+03
66	3.365059E+02	5.888890E+02	7.389622E+02	1.120773E+03	1.444954E+03	1.519391E+03
67	3.453034E+02	5.923980E+02	7.332189E+02	1.133619E+03	1.443214E+03	1.513326E+03
68	3.540738E+02	5.957285E+02	7.273898E+02	1.146320E+03	1.441552E+03	1.507071E+03
69	3.628016E+02	5.988816E+02	7.214850E+02	1.158862E+03	1.439970E+03	1.500648E+03
70	3.714694E+02	6.018580E+02	7.155172E+02	1.171229E+03	1.438468E+03	1.494079E+03
71	3.800578E+02	6.046586E+02	7.095010E+02	1.183412E+03	1.437047E+03	1.487377E+03
72	3.885449E+02	6.072845E+02	7.034537E+02	1.195413E+03	1.435708E+03	1.480534E+03
73	3.969060E+02	6.097362E+02	6.973959E+02	1.207246E+03	1.434452E+03	1.473530E+03
74	4.051123E+02	6.120148E+02	6.913521E+02	1.218925E+03	1.433280E+03	1.466344E+03
75	4.131307E+02	6.141209E+02	6.853519E+02	1.230453E+03	1.432193E+03	1.458971E+03
76	4.209220E+02	6.160554E+02	6.794307E+02	1.241822E+03	1.431191E+03	1.451424E+03
77	4.284406E+02	6.178190E+02	6.736309E+02	1.253014E+03	1.430275E+03	1.443725E+03
78	4.356332E+02	6.194125E+02	6.680028E+02	1.264011E+03	1.429444E+03	1.435895E+03
79	4.424374E+02	6.208364E+02	6.626060E+02	1.274805E+03	1.427939E+03	1.428700E+03
